"TIME","GEO","N_PERSON","Value"
"2011","Germany (until 1990 former territory of the FRG)","4 persons","9.4"
"2011","Germany (until 1990 former territory of the FRG)","5 persons","2.6"
"2011","Germany (until 1990 former territory of the FRG)","6 persons or more","0.7"
"2011","Estonia","1 person","34.9"
"2011","Estonia","2 persons","29.7"
"2011","Estonia","3 persons","17.2"
"2011","Estonia","4 persons","12.8"
"2011","Estonia","5 persons","3.6"
"2011","Estonia","6 persons or more","1.8"
"2011","Ireland","1 person","21.7"
"2011","Ireland","2 persons","29.6"
"2011","Ireland","3 persons","20.4"
"2011","Ireland","4 persons","17.6"
"2011","Ireland","5 persons","7.8"
"2011","Ireland","6 persons or more","3.0"
"2011","Greece","1 person","20.4"
"2011","Greece","2 persons","28.3"
"2011","Greece","3 persons","21.1"
"2011","Greece","4 persons","27.7"
"2011","Greece","5 persons","2.0"
"2011","Greece","6 persons or more","0.5"
"2011","Spain","1 person","22.9"
"2011","Spain","2 persons","29.7"
"2011","Spain","3 persons","21.6"
"2011","Spain","4 persons","18.8"
"2011","Spain","5 persons","5.2"
"2011","Spain","6 persons or more","1.8"
"2011","France","1 person","34.1"
"2011","France","2 persons","34.2"
"2011","France","3 persons","13.5"
"2011","France","4 persons","13.0"
"2011","France","5 persons","3.8"
"2011","France","6 persons or more","1.5"
"2011","Croatia","1 person","24.6"
"2011","Croatia","2 persons","25.6"
"2011","Croatia","3 persons","18.8"
"2011","Croatia","4 persons","17.3"
"2011","Croatia","5 persons","7.7"
"2011","Croatia","6 persons or more","6.0"
"2011","Italy","1 person","30.3"
"2011","Italy","2 persons","27.7"
"2011","Italy","3 persons","20.2"
"2011","Italy","4 persons","16.9"
"2011","Italy","5 persons","3.9"
"2011","Italy","6 persons or more","1.0"
"2011","Cyprus","1 person","20.8"
"2011","Cyprus","2 persons","31.0"
"2011","Cyprus","3 persons","18.2"
"2011","Cyprus","4 persons","16.5"
"2011","Cyprus","5 persons","7.2"
"2011","Cyprus","6 persons or more","6.3"
"2011","Latvia","1 person","30.8"
"2011","Latvia","2 persons","29.1"
"2011","Latvia","3 persons","19.7"
"2011","Latvia","4 persons","12.3"
"2011","Latvia","5 persons","5.0"
"2011","Latvia","6 persons or more","3.2"
"2011","Lithuania","1 person","34.2"
"2011","Lithuania","2 persons","26.7"
"2011","Lithuania","3 persons","18.4"
"2011","Lithuania","4 persons","13.9"
"2011","Lithuania","5 persons","4.8"
"2011","Lithuania","6 persons or more","2.0"
"2011","Luxembourg","1 person","28.9"
"2011","Luxembourg","2 persons","27.8"
"2011","Luxembourg","3 persons","17.2"
"2011","Luxembourg","4 persons","19.2"
"2011","Luxembourg","5 persons","5.6"
"2011","Luxembourg","6 persons or more","1.4"
"2011","Hungary","1 person","29.9"
"2011","Hungary","2 persons","30.3"
"2011","Hungary","3 persons","17.6"
"2011","Hungary","4 persons","14.6"
"2011","Hungary","5 persons","4.8"
"2011","Hungary","6 persons or more","2.7"
"2011","Malta","1 person","22.1"
"2011","Malta","2 persons","27.6"
"2011","Malta","3 persons","21.3"
"2011","Malta","4 persons","20.0"
"2011","Malta","5 persons","6.4"
"2011","Malta","6 persons or more","2.7"
"2011","Netherlands","1 person","36.4"
"2011","Netherlands","2 persons","32.2"
"2011","Netherlands","3 persons","12.3"
"2011","Netherlands","4 persons","13.0"
"2011","Netherlands","5 persons","4.8"
"2011","Netherlands","6 persons or more","1.3"
"2011","Austria","1 person","36.3"
"2011","Austria","2 persons","28.7"
"2011","Austria","3 persons","15.6"
"2011","Austria","4 persons","12.5"
"2011","Austria","5 persons","4.8"
"2011","Austria","6 persons or more","2.1"
"2011","Poland","1 person","24.6"
"2011","Poland","2 persons","23.4"
"2011","Poland","3 persons","19.9"
"2011","Poland","4 persons","17.8"
"2011","Poland","5 persons","7.9"
"2011","Poland","6 persons or more","6.4"
"2011","Portugal","1 person","19.1"
"2011","Portugal","2 persons","30.6"
"2011","Portugal","3 persons","25.8"
"2011","Portugal","4 persons","17.8"
"2011","Portugal","5 persons","5.0"
"2011","Portugal","6 persons or more","1.7"
"2011","Romania","1 person","24.8"
"2011","Romania","2 persons","26.8"
"2011","Romania","3 persons","19.2"
"2011","Romania","4 persons","18.0"
"2011","Romania","5 persons","6.5"
"2011","Romania","6 persons or more","4.7"
"2011","Slovenia","1 person","27.6"
"2011","Slovenia","2 persons","26.8"
"2011","Slovenia","3 persons","17.9"
"2011","Slovenia","4 persons","20.3"
"2011","Slovenia","5 persons","5.3"
"2011","Slovenia","6 persons or more","2.0"
"2011","Slovakia","1 person","24.4"
"2011","Slovakia","2 persons","22.6"
"2011","Slovakia","3 persons","19.7"
"2011","Slovakia","4 persons","21.6"
"2011","Slovakia","5 persons","7.2"
"2011","Slovakia","6 persons or more","4.4"
"2011","Finland","1 person","40.1"
"2011","Finland","2 persons","34.7"
"2011","Finland","3 persons","10.7"
"2011","Finland","4 persons","9.6"
"2011","Finland","5 persons","3.4"
"2011","Finland","6 persons or more","1.6"
"2011","Sweden","1 person","40.8"
"2011","Sweden","2 persons","32.8"
"2011","Sweden","3 persons","11.4"
"2011","Sweden","4 persons","11.0"
"2011","Sweden","5 persons","3.1"
"2011","Sweden","6 persons or more","1.0"
"2011","United Kingdom","1 person","31.3"
"2011","United Kingdom","2 persons","32.5"
"2011","United Kingdom","3 persons","15.9"
"2011","United Kingdom","4 persons","13.6"
"2011","United Kingdom","5 persons","4.9"
"2011","United Kingdom","6 persons or more","1.7"
"2011","Iceland","1 person","30.9"
"2011","Iceland","2 persons","29.6"
"2011","Iceland","3 persons","15.4"
"2011","Iceland","4 persons","14.6"
"2011","Iceland","5 persons","7.7"
"2011","Iceland","6 persons or more","1.8"
"2011","Norway","1 person","41.6"
"2011","Norway","2 persons","31.1"
"2011","Norway","3 persons","10.9"
"2011","Norway","4 persons","10.7"
"2011","Norway","5 persons","4.5"
"2011","Norway","6 persons or more","1.0"
"2011","Switzerland","1 person","31.6"
"2011","Switzerland","2 persons","35.1"
"2011","Switzerland","3 persons","13.7"
"2011","Switzerland","4 persons","14.0"
"2011","Switzerland","5 persons","4.4"
"2011","Switzerland","6 persons or more","1.2"
"2011","Montenegro","1 person",":"
"2011","Montenegro","2 persons",":"
"2011","Montenegro","3 persons",":"
"2011","Montenegro","4 persons",":"
"2011","Montenegro","5 persons",":"
"2011","Montenegro","6 persons or more",":"
"2011","North Macedonia","1 person","9.6"
"2011","North Macedonia","2 persons","19.2"
"2011","North Macedonia","3 persons","17.9"
"2011","North Macedonia","4 persons","28.4"
"2011","North Macedonia","5 persons","13.0"
"2011","North Macedonia","6 persons or more","11.9"
"2011","Serbia","1 person",":"
"2011","Serbia","2 persons",":"
"2011","Serbia","3 persons",":"
"2011","Serbia","4 persons",":"
"2011","Serbia","5 persons",":"
"2011","Serbia","6 persons or more",":"
"2011","Turkey","1 person","7.9"
"2011","Turkey","2 persons","19.1"
"2011","Turkey","3 persons","23.1"
"2011","Turkey","4 persons","24.9"
"2011","Turkey","5 persons","12.3"
"2011","Turkey","6 persons or more","12.7"
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","1 person","31.2"
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","2 persons","31.2"
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","3 persons","16.9"
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","4 persons","14.4"
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","5 persons","4.3"
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","6 persons or more","2.1"
"2012","European Union - 27 countries (from 2020)","1 person","31.5"
"2012","European Union - 27 countries (from 2020)","2 persons","30.6"
"2012","European Union - 27 countries (from 2020)","3 persons","16.9"
"2012","European Union - 27 countries (from 2020)","4 persons","14.6"
"2012","European Union - 27 countries (from 2020)","5 persons","4.3"
"2012","European Union - 27 countries (from 2020)","6 persons or more","2.1"
"2012","European Union - 28 countries (2013-2020)","1 person","31.2"
"2012","European Union - 28 countries (2013-2020)","2 persons","31.2"
"2012","European Union - 28 countries (2013-2020)","3 persons","16.9"
"2012","European Union - 28 countries (2013-2020)","4 persons","14.4"
"2012","European Union - 28 countries (2013-2020)","5 persons","4.3"
"2012","European Union - 28 countries (2013-2020)","6 persons or more","2.1"
"2012","European Union - 27 countries (2007-2013)","1 person","31.2"
"2012","European Union - 27 countries (2007-2013)","2 persons","31.3"
"2012","European Union - 27 countries (2007-2013)","3 persons","16.8"
"2012","European Union - 27 countries (2007-2013)","4 persons","14.4"
"2012","European Union - 27 countries (2007-2013)","5 persons","4.2"
"2012","European Union - 27 countries (2007-2013)","6 persons or more","2.0"
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","1 person","32.7"
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","2 persons","31.4"
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","3 persons","16.5"
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","4 persons","14.3"
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","5 persons","3.8"
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","6 persons or more","1.3"
"2012","Euro area - 19 countries  (from 2015)","1 person","32.7"
